,date,year,month,day,time,hour,minute,latitude,longitude,material_at_origin,land_use_at_origin,size,suppressed_by,suppressing_agency,facility_identification,other_companies,voltage_volts_,equipment_involved_with_ignition,type,was_there_an_outage,date_1,time_1,suspected_initiating_event,equipment_facility_failure,contact_from_object,facility_contacted,contributing_factor,unnamed_23,material_at_origin_comments,voltage
10,6/17/2014,2014,6,17,12:14:50 AM,0,14,40.96058,-124.043959,Vegetation,Rural,< 0.25 Acres,Unknown,,100979528,AT&T,0 – 750,Conductor,Overhead,Yes,6/17/2014 14:50,6/17/2014 14:50,Wire-Wire Contact,N.A.,N.A.,N.A.,Unknown,,,
11,6/17/2014,2014,6,17,12:16:47 AM,0,16,34.68609,-120.432732,Vegetation,Rural,< 3 meters ,Self Extinguished,,101894765, ,12000,Conductor,Overhead,Yes,6/17/2014 16:47,6/17/2014 16:47,Equipment/ Facility Failure,Splice/Clamp/Connector,N.A.,N.A.,Unknown,,,
12,6/17/2014,2014,6,17,12:21:24 AM,0,21,38.41804,-121.140461,Vegetation,Rural,10 - 99 Acres,Unknown,,Twr. 052/320,None,115000,Conductor,Overhead,Yes,6/17/2014 21:24,6/17/2014 21:24,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
13,6/18/2014,2014,6,18,12:10:01 AM,0,10,37.801098,-121.202156,Vegetation,Urban,.26 - 9.99 Acres,Fire Agency,Manteca FD,102085311,Verizon,17000,Conductor,Overhead,Yes,6/18/2014 10:01,6/18/2014 10:01,Equipment/ Facility Failure,Splice/Clamp/Connector,N.A.,N.A.,Unknown,,,
14,6/18/2014,2014,6,18,12:18:29 AM,0,18,37.317509,-120.504905,Vegetation,Urban,< 0.25 Acres,Fire Agency,Cal Fire,101162090,AT&T,0 – 750,Capacitor Bank,Overhead,No, , ,Equipment/ Facility Failure,Capacitor Bank,N.A.,N.A.,Unknown,,,
15,6/19/2014,2014,6,19,12:16:32 AM,0,16,37.93146,-121.2999,Vegetation,Urban,< 0.25 Acres,Unknown,,102133758,AT&T,0 – 750,Conductor,Overhead,No, , ,Equipment/ Facility Failure,Other,N.A.,N.A.,Unknown,service conductor,,
16,6/19/2014,2014,6,19,12:18:54 AM,0,18,38.780199,-121.500724,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,,101297449,AT&T,12000,Conductor,Overhead,Yes,6/19/2014 18:54,6/19/2014 18:54,Equipment/ Facility Failure,Splice/Clamp/Connector,N.A.,N.A.,Unknown,,,
17,6/20/2014,2014,6,20,12:09:47 AM,0,9,34.865099,-120.320672,Vegetation,Rural,< 0.25 Acres,Unknown,,101862409, ,12000,Conductor,Overhead,Yes,6/20/2014 9:47,6/20/2014 9:47,Equipment/ Facility Failure,Splice/Clamp/Connector,N.A.,N.A.,Unknown,,,
18,6/20/2014,2014,6,20,12:12:00 AM,0,12,39.666337,-122.196881,Vegetation,Rural,< 0.25 Acres,Unknown,,100422609,,0 – 750,Capacitor Bank,Overhead,No, , ,Equipment/ Facility Failure,Capacitor Bank,N.A.,N.A.,Unknown,,,
19,6/20/2014,2014,6,20,12:14:15 AM,0,14,40.78022999,-121.50287,Vegetation,Rural,< 0.25 Acres,Fire Agency,,101520035,Frontier,12000,Conductor,Overhead,Yes,6/20/2014 14:15,6/20/2014 14:15,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
20,6/21/2014,2014,6,21,12:06:49 AM,0,6,38.3753,-122.5494,Vegetation,Rural,< 0.25 Acres,Fire Agency,,"3111 WARM SPRINGS RD, GLEN ELLEN", ,12000,Conductor,Overhead,Yes,6/21/2014 6:49,6/21/2014 6:49,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
21,6/21/2014,2014,6,21,12:14:36 AM,0,14,38.36443999,-122.262649,Vegetation,Rural,< 3 meters ,Fire Agency,Cal Fire,102286053,AT&T,12000,Conductor,Overhead,Yes,6/21/2014 14:36,6/21/2014 14:36,Contact From Object,N.A.,Vehicle,Pole,Human Error,,,
22,6/22/2014,2014,6,22,12:08:19 AM,0,8,34.894389,-120.424459,Vegetation,Urban,< 3 meters ,Unknown,,101864052,Verizon,12000,Conductor,Overhead,Yes,6/22/2014 8:19,6/22/2014 8:19,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,,,
23,6/23/2014,2014,6,23,12:06:04 AM,0,6,37.5046,-120.00742,Vegetation,Rural,< 0.25 Acres,Unknown,,Pole 007/019,None,70000,Conductor,Overhead,Yes,6/23/2014 6:04,6/23/2014 6:04,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
24,6/23/2014,2014,6,23,12:17:45 AM,0,17,39.064024,-121.022486,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,,BET: MTR# 1007517420 & FUCO 7495,,12000,Conductor,Overhead,Yes,6/23/2014 17:45,6/23/2014 17:45,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
25,6/24/2014,2014,6,24,12:07:11 AM,0,7,36.74953999,-121.65706,Vegetation,Rural,< 0.25 Acres,Fire Agency,Salinas FD,101712215,AT&T,12000,Conductor,Overhead,Yes,6/24/2014 7:11,6/24/2014 7:11,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,,,
26,6/24/2014,2014,6,24,12:07:48 AM,0,7,37.9037,-121.679162,Other,Urban,< 3 meters ,Fire Agency,Contra Costa FD,100485898,AT&T,0 – 750,Conductor,Overhead,No, , ,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,dumpster burned,,
27,6/24/2014,2014,6,24,12:14:31 AM,0,14,39.78568,-121.90659,Vegetation,Rural,10 - 99 Acres,Fire Agency,Cal Fire,Mtr 36P580,None,12000,Conductor,Overhead,Yes,6/24/2014 14:31,6/24/2014 14:31,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
28,6/24/2014,2014,6,24,12:16:56 AM,0,16,37.974014,-121.346462,Vegetation,Urban,< 0.25 Acres,Unknown,,103190493, ,12000,Conductor,Overhead,Yes,6/24/2014 16:56,6/24/2014 16:56,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
29,6/24/2014,2014,6,24,12:17:12 AM,0,17,38.110973,-122.564512,Vegetation,Urban,.26 - 9.99 Acres,Fire Agency,Novato Fire Department,102223842,,0 – 750,Conductor,Overhead,No, , ,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
30,6/25/2014,2014,6,25,12:01:36 AM,0,1,36.89085,-121.71746,Vegetation,Rural,< 0.25 Acres,Unknown,,101697469,AT&T,0 – 750,Conductor,Overhead,No, , ,Contact From Object,N.A.,Balloons,Electric Facility,Human Error,,,
31,6/25/2014,2014,6,25,12:08:51 AM,0,8,34.88304,-120.277619,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,,LD SIDE MTR 1008835806,,12000,Conductor,Overhead,Yes,6/25/2014 8:51,6/25/2014 8:51,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,,,
32,6/25/2014,2014,6,25,12:08:53 AM,0,8,39.01101,-120.89606,Vegetation,Rural,.26 - 9.99 Acres,Unknown,,Main Line N/O buck to 20340 Spring Garden # 1004520726,,12000,Conductor,Overhead,Yes,6/25/2014 8:53,6/25/2014 8:53,Contact From Object,N.A.,Vegetation,Electric Facility,Human Error,Third-party caused,,
33,6/25/2014,2014,6,25,12:21:47 AM,0,21,37.997663,-121.769186,Vegetation,Rural,< 0.25 Acres,Unknown,,100455766,,21000,Conductor,Overhead,Yes,6/25/2014 21:47,6/25/2014 21:47,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
34,6/26/2014,2014,6,26,12:00:15 AM,0,0,36.80024999,-119.793779,Vegetation,Urban,< 0.25 Acres,Fire Agency,Fresno Fire Dept,100854012,AT&T,12000,Conductor,Overhead,Yes,6/26/2014 0:15,6/26/2014 0:15,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
35,6/28/2014,2014,6,28,12:23:04 AM,0,23,37.899207,-121.860878,Vegetation,Rural,< 0.25 Acres,Unknown,,100483886,,21000,Transformer,Overhead,Yes,6/28/2014 23:04,6/28/2014 23:04,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
36,6/29/2014,2014,6,29,12:07:59 AM,0,7,38.7794,-121.505549,Vegetation,Rural,< 0.25 Acres,Fire Agency,,101297918,AT&T,0 – 750,Transformer,Overhead,Yes,6/29/2014 7:59,6/29/2014 7:59,Equipment/ Facility Failure,Transformer,N.A.,N.A.,Unknown,,,
37,6/29/2014,2014,6,29,12:08:23 AM,0,8,39.09198,-121.54307,Vegetation,Urban,< 0.25 Acres,Unknown,,SB 15745  ARBOGA RD 500' S/O FURNEAUX RD 2 SP EAST,,12000,Conductor,Overhead,Yes,6/29/2014 8:23,6/29/2014 8:23,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,,,
38,6/29/2014,2014,6,29,12:19:53 AM,0,19,38.5208,-123.06067,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,3600 E. AUTSTIN CREEK RD,,12000,Conductor,Overhead,Yes,6/29/2014 19:53,6/29/2014 19:53,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
39,6/30/2014,2014,6,30,12:14:08 AM,0,14,38.44917999,-122.87277,Vegetation,Rural,< 0.25 Acres,Unknown,,102022582,AT&T,0 – 750,Conductor,Overhead,No, , ,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
40,6/30/2014,2014,6,30,12:18:25 AM,0,18,39.144927,-122.131882,Vegetation,Rural,< 0.25 Acres,Unknown,,101629033,,12000,Conductor,Overhead,Yes,6/30/2014 18:25,6/30/2014 18:25,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
41,6/30/2014,2014,6,30,12:20:02 AM,0,20,36.80801999,-119.910139,Vegetation,Urban,< 0.25 Acres,Unknown,,100625545,AT&T,21000,Conductor,Overhead,Yes,6/30/2014 20:02,6/30/2014 20:02,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
42,7/1/2014,2014,7,1,12:03:46 AM,0,3,37.900473,-121.260258,Vegetation,Rural,< 0.25 Acres,Unknown,,2 POLES EAST OF C3412,,12000,Conductor,Overhead,Yes,7/1/2014 3:46,7/1/2014 3:46,Contact From Object,N.A.,Vehicle,Pole,Human Error,,,
43,7/1/2014,2014,7,1,12:06:43 AM,0,6,38.00623,-122.64303,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,West Marin Fire,102258915,AT&T,12000,Conductor,Overhead,Yes,7/1/2014 6:43,7/1/2014 6:43,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
44,7/1/2014,2014,7,1,12:09:45 AM,0,9,37.42669,-119.88095,Vegetation,Rural,.26 - 9.99 Acres,Unknown,,101065832,,21000,Conductor,Overhead,Yes,7/1/2014 9:45,7/1/2014 9:45,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
45,7/1/2014,2014,7,1,12:14:36 AM,0,14,38.86486999,-121.70255,Vegetation,Rural,< 0.25 Acres,Fire Agency,Yolo FD,101593404,Verizon,12000,Conductor,Overhead,Yes,7/1/2014 14:36,7/1/2014 14:36,Contact From Object,N.A.,Vehicle,Communication Facility,Human Error,,,
46,7/1/2014,2014,7,1,12:18:43 AM,0,18,37.085422,-121.760738,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,"6770 Croy Rd, Morgan Hill", ,0 – 750,Conductor,Overhead,Yes,7/1/2014 18:43,7/1/2014 18:43,Equipment/ Facility Failure,Splice/Clamp/Connector,N.A.,N.A.,Unknown,,,
47,7/2/2014,2014,7,2,12:13:17 AM,0,13,38.254571,-122.050928,Vegetation,Urban,< 0.25 Acres,Fire Agency,,101556512,AT&T,12000,Conductor,Overhead,Yes,7/2/2014 13:17,7/2/2014 13:17,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,,,
48,7/2/2014,2014,7,2,12:14:29 AM,0,14,40.47366,-122.47373,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,101481261,TDS HAPPY VALLEY,12000,Conductor,Overhead,Yes,7/2/2014 14:29,7/2/2014 14:29,Vandalism/Theft,N.A.,N.A.,N.A.,Human Error,Third-party caused,,
49,7/2/2014,2014,7,2,12:17:17 AM,0,17,35.053351,-119.40879,Vegetation,Rural,< 0.25 Acres,Fire Agency,,Mtr. 1004492840, ,0 – 750,Transformer,Overhead,Yes,7/2/2014 17:17,7/2/2014 17:17,Equipment/ Facility Failure,Transformer,N.A.,N.A.,Unknown,,,
50,7/3/2014,2014,7,3,12:11:37 AM,0,11,37.334884,-120.851017,Vegetation,Rural,< 0.25 Acres,Unknown,,101207072,AT&T,12000,Conductor,Overhead,Yes,7/3/2014 11:37,7/3/2014 11:37,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,,,
51,7/3/2014,2014,7,3,12:19:22 AM,0,19,39.491453,-121.538469,Vegetation,Rural,< 0.25 Acres,Unknown,,100369965, ,12000,Other,Subsurface,Yes,7/3/2014 19:22,7/3/2014 19:22,Equipment/ Facility Failure,Other,N.A.,N.A.,Unknown,,,
52,7/3/2014,2014,7,3,12:20:28 AM,0,20,40.658384,-122.321476,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,T1192, ,12000,Other,Padmounted,Yes,7/3/2014 20:28,7/3/2014 20:28,Equipment/ Facility Failure,Other,N.A.,N.A.,Unknown,,,
53,7/4/2014,2014,7,4,12:01:40 AM,0,1,39.333723,-121.139138,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,100001697, ,12000,Transformer,Overhead,Yes,7/4/2014 1:40,7/4/2014 1:40,Equipment/ Facility Failure,Transformer,N.A.,N.A.,Unknown,,,
54,7/4/2014,2014,7,4,12:06:52 AM,0,6,37.184019,-121.741604,Vegetation,Rural,< 3 meters ,Unknown,,Sw 73367, ,21000,Other,Overhead,Yes,7/4/2014 6:52,7/4/2014 6:52,Unknown,N.A.,N.A.,N.A.,Unknown,,,
55,7/5/2014,2014,7,5,12:03:30 AM,0,3,35.45955,-120.72915,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,101934121, ,12000,Conductor,Overhead,Yes,7/5/2014 3:30,7/5/2014 3:30,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
56,7/5/2014,2014,7,5,12:05:33 AM,0,5,37.249352,-121.012645,Other,Rural,< 3 meters ,Fire Agency,,101219229, ,0 – 750,Conductor,Overhead,No, , ,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,debris burned,,
57,7/5/2014,2014,7,5,12:10:09 AM,0,10,39.778538,-121.590038,Vegetation,Rural,< 0.25 Acres,Fire Agency,Butte County FD,100399511, ,12000,Transformer,Overhead,Yes,7/5/2014 10:09,7/5/2014 10:09,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
58,7/5/2014,2014,7,5,12:23:17 AM,0,23,39.81977,-121.626222,Vegetation,Rural,< 0.25 Acres,Fire Agency,,100355517, ,12000,Conductor,Overhead,Yes,7/5/2014 23:17,7/5/2014 23:17,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
59,7/6/2014,2014,7,6,12:17:00 AM,0,17,37.94690999,-122.093609,Vegetation,Rural,< 0.25 Acres,Fire Agency,Contra Costa FD,100460181,AT&T,0 – 750,Conductor,Overhead,No, , ,Unknown,N.A.,N.A.,N.A.,Unknown,,,
60,7/6/2014,2014,7,6,12:19:19 AM,0,19,38.7489,-123.28498,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,6 SPANS FROM EOL TWD FUCO 4605,  ,12000,Conductor,Overhead,Yes,7/6/2014 19:19,7/6/2014 19:19,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
61,7/7/2014,2014,7,7,12:20:43 AM,0,20,36.84939,-119.879986,Vegetation,Urban,< 0.25 Acres,Fire Agency,,NE of D9200, ,21000,Conductor,Overhead,Yes,7/7/2014 20:43,7/7/2014 20:43,Contact From Object,N.A.,Other,Electric Facility,Human Error,suspect large crane,,
62,7/7/2014,2014,7,7,12:23:49 AM,0,23,37.032664,-120.310476,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,101090847,AT&T,12000,Conductor,Overhead,Yes,7/7/2014 23:49,7/7/2014 23:49,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,,,
63,7/8/2014,2014,7,8,12:11:07 AM,0,11,37.905357,-121.21985,Vegetation,Rural,< 0.25 Acres,Unknown,,102131509, ,12000,Capacitor Bank,Overhead,Yes,7/8/2014 11:07,7/8/2014 11:07,Equipment/ Facility Failure,Capacitor Bank,N.A.,N.A.,Unknown,,,
64,7/8/2014,2014,7,8,12:11:41 AM,0,11,36.701613,-121.576813,Vegetation,Rural,< 0.25 Acres,Unknown,,101722884,AT&T,12000,Conductor,Overhead,Yes,7/8/2014 11:41,7/8/2014 11:41,Contact From Object,N.A.,Vegetation,Electric Facility,Human Error,Third-party caused,,
65,7/8/2014,2014,7,8,12:12:34 AM,0,12,36.3905,-121.61475,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,5 SPANS BEYOND FU-9383, ,12000,Conductor,Overhead,Yes,7/8/2014 12:34,7/8/2014 12:34,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
66,7/8/2014,2014,7,8,12:22:39 AM,0,22,39.0437,-120.59052,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,22640 PLUMTREE RD, ,12000,Conductor,Overhead,Yes,7/8/2014 22:39,7/8/2014 22:39,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
67,7/9/2014,2014,7,9,12:14:42 AM,0,14,38.605789,-120.711755,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,"6851 Mount Aukum Rd, Somerset", ,0 – 750,Conductor,Overhead,No, , ,Unknown,N.A.,N.A.,N.A.,Unknown,,,
68,7/10/2014,2014,7,10,12:14:37 AM,0,14,39.23185,-123.13989,Vegetation,Rural,< 0.25 Acres,Unknown,,MTR 1009774604, ,12000,Conductor,Overhead,Yes,7/10/2014 14:37,7/10/2014 14:37,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
69,7/11/2014,2014,7,11,12:01:42 AM,0,1,39.212134,-121.297765,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,Pole 000/006, ,60000,Conductor,Overhead,Yes,7/11/2014 1:42,7/11/2014 1:42,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
70,7/11/2014,2014,7,11,12:14:07 AM,0,14,36.94562,-121.766841,Vegetation,Urban,< 0.25 Acres,Fire Agency,Cal Fire,101709439, ,21000,Conductor,Overhead,Yes,7/11/2014 14:07,7/11/2014 14:07,Contact From Object,N.A.,Balloons,Electric Facility,Human Error,,,
71,7/11/2014,2014,7,11,12:15:15 AM,0,15,38.9108,-122.009979,Vegetation,Rural,.26 - 9.99 Acres,Unknown,,101651518, ,12000,Transformer,Overhead,Yes,7/11/2014 15:15,7/11/2014 15:15,Equipment/ Facility Failure,Transformer,N.A.,N.A.,Unknown,,,
72,7/11/2014,2014,7,11,12:21:56 AM,0,21,37.89526,-121.85704,Vegetation,Rural,< 0.25 Acres,Fire Agency,Contra Costa FD,102347574,AT&T,21000,Conductor,Overhead,Yes,7/11/2014 21:56,7/11/2014 21:56,Contact From Object,N.A.,Vehicle,Pole,Human Error,,,
73,7/12/2014,2014,7,12,12:16:25 AM,0,16,36.535902,-121.417331,Vegetation,Rural,< 0.25 Acres,Fire Agency,,Mtr. 1006729371, ,12000,Conductor,Overhead,Yes,7/12/2014 16:25,7/12/2014 16:25,Equipment/ Facility Failure,Splice/Clamp/Connector,N.A.,N.A.,Unknown,,,
74,7/12/2014,2014,7,12,12:19:52 AM,0,19,40.777947,-121.99967,Vegetation,Rural,< 0.25 Acres,Fire Agency,,6 SPANS E/OF MTR 5000068877, ,12000,Conductor,Overhead,Yes,7/12/2014 19:52,7/12/2014 19:52,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
75,7/13/2014,2014,7,13,12:18:42 AM,0,18,38.97557,-123.68068,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,43712 CRISPIN RD, ,12000,Conductor,Overhead,Yes,7/13/2014 18:42,7/13/2014 18:42,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
76,7/14/2014,2014,7,14,12:09:36 AM,0,9,37.983222,-122.069611,Vegetation,Urban,< 0.25 Acres,Customer,,100460487,AT&T,21000,Conductor,Overhead,Yes,7/14/2014 9:36,7/14/2014 9:36,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,,,
77,7/14/2014,2014,7,14,12:16:41 AM,0,16,37.536178,-122.294979,Vegetation,Urban,< 0.25 Acres,Unknown,,100271153,AT&T,0 – 750,Conductor,Overhead,No, , ,Contact From Object,N.A.,Balloons,Electric Facility,Human Error,,,
78,7/15/2014,2014,7,15,12:09:00 AM,0,9,38.4189,-120.5195,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,101244892, ,12000,Conductor,Overhead,Yes,7/15/2014 9:00,7/15/2014 9:00,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
79,7/15/2014,2014,7,15,12:16:32 AM,0,16,38.255766,-122.048734,Vegetation,Urban,< 0.25 Acres,Fire Agency,,"1244 Grant St, Fairfield", ,0 – 750,Conductor,Overhead,No, , ,Unknown,N.A.,N.A.,N.A.,Unknown,,,
80,7/16/2014,2014,7,16,12:01:29 AM,0,1,38.736277,-121.43654,Vegetation,Rural,.26 - 9.99 Acres,Unknown,,100102912, ,12000,Unknown,Overhead,Yes,7/16/2014 1:29,7/16/2014 1:29,Unknown,N.A.,N.A.,N.A.,Unknown,,,
81,7/17/2014,2014,7,17,12:13:56 AM,0,13,35.2421,-119.105,Vegetation,Rural,< 0.25 Acres,Fire Agency,Cal Fire,1 POLE E/OF NORIEGA AND HEATH, ,21000,Conductor,Overhead,Yes,7/17/2014 13:56,7/17/2014 13:56,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
82,7/17/2014,2014,7,17,12:15:14 AM,0,15,39.810434,-122.32999,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire, 1 POLE W/OF MTR #1008817785, ,12000,Conductor,Overhead,Yes,7/17/2014 15:14,7/17/2014 15:14,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
83,7/17/2014,2014,7,17,12:17:24 AM,0,17,37.374826,-122.082469,Vegetation,Urban,< 3 meters ,Unknown,,3P N/O 1715, ,12000,Conductor,Overhead,Yes,7/17/2014 17:24,7/17/2014 17:24,Contact From Object,N.A.,Vegetation,Electric Facility,Unknown,,,
84,7/20/2014,2014,7,20,12:03:07 AM,0,3,37.452284,-122.252411,Other,Urban,Structure Only ,Fire Agency,Redwood City FD,"1045 Silver Hill Rd, Redwood City", ,12000,Conductor,Overhead,Yes,7/20/2014 3:07,7/20/2014 3:07,Equipment/ Facility Failure,Conductor,N.A.,N.A.,Unknown,play structure burned,,
85,7/20/2014,2014,7,20,12:12:23 AM,0,12,37.676078,-119.796926,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,NPS,Twr. 038/224, ,70000,Conductor,Overhead,Yes,7/20/2014 12:23,7/20/2014 12:23,Contact From Object,N.A.,Other,Electric Facility,Weather,lightning strike,,
86,7/20/2014,2014,7,20,12:12:44 AM,0,12,38.393139,-121.59374,Vegetation,Rural,< 0.25 Acres,Unknown,,101652420, ,21000,Conductor,Overhead,Yes,7/20/2014 12:44,7/20/2014 12:44,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
87,7/21/2014,2014,7,21,12:09:57 AM,0,9,37.59289,-121.341672,Vegetation,Rural,< 0.25 Acres,Fire Agency,,"3401 Gaffery Rd, Vernalis", ,12000,Conductor,Overhead,Yes,7/21/2014 9:57,7/21/2014 9:57,Contact From Object,N.A.,Animal,Electric Facility,Unknown,,,
88,7/22/2014,2014,7,22,12:14:53 AM,0,14,37.06857999,-121.66955,Vegetation,Rural,< 0.25 Acres,Unknown,,100607514,Verizon,0 – 750,Conductor,Overhead,No, , ,Unknown,N.A.,N.A.,N.A.,Unknown,,,
